WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-38.35 63.4,-38.35 63.45,-38.3 63.45,-38.3 63.4,-38.35 63.4))",13.8283404917986,58.5156586731847,4.5642213765084,Greenland Sea,55B1,7603:238:143:1,63.425,-38.325
"POLYGON ((-39.35 63.35,-39.35 63.4,-39.3 63.4,-39.3 63.35,-39.35 63.35))",13.8524597571097,24.9245520088562,1.94411505669078,Greenland Sea,55B0,7603:239:133:3,63.375,-39.325
"POLYGON ((-39.55 63.2,-39.55 63.25,-39.5 63.25,-39.5 63.2,-39.55 63.2))",13.9247541841072,78.2679991689672,6.10490393517944,Greenland Sea,55B0,7603:239:225:1,63.225,-39.525
"POLYGON ((-39.6 63.3,-39.6 63.35,-39.55 63.35,-39.55 63.3,-39.6 63.3))",13.87656847317,6.55180221074,0.51104057243772,Greenland Sea,55B0,7603:239:235:2,63.325,-39.575
"POLYGON ((-40.15 62.0,-40.15 62.05,-40.1 62.05,-40.1 62.0,-40.15 62.0))",14.4996323230668,52.4058766684454,4.08765838013874,Greenland Sea,53A3,7604:120:101:1,62.025,-40.125
"POLYGON ((-40.25 62.05,-40.25 62.1,-40.2 62.1,-40.2 62.05,-40.25 62.05))",14.4758043080429,36.0159199820607,2.80924175860074,Greenland Sea,53A3,7604:120:102:3,62.075,-40.225
"POLYGON ((-40.5 62.05,-40.5 62.1,-40.45 62.1,-40.45 62.05,-40.5 62.05))",14.4758043080429,11.25421172875,0.8778285148425,Greenland Sea,53A3,7604:120:104:4,62.075,-40.475
"POLYGON ((-30.3 65.6,-30.3 65.65,-30.25 65.65,-30.25 65.6,-30.3 65.6))",12.7569291736401,8.78813007404538,0.68547414577554,Greenland Sea,60B9,7603:350:362:2,65.625,-30.275
"POLYGON ((-29.6 65.75,-29.6 65.8,-29.55 65.8,-29.55 65.75,-29.6 65.75))",12.6831755494375,70.4766337549305,5.49717743288458,Greenland Sea,60C0,7602:459:475:4,65.775,-29.575
"POLYGON ((-38.4 63.4,-38.4 63.45,-38.35 63.45,-38.35 63.4,-38.4 63.4))",13.8283404917986,46.3502558231467,3.61531995420544,Greenland Sea,55B1,7603:238:143:2,63.425,-38.375
"POLYGON ((-39.25 63.4,-39.25 63.45,-39.2 63.45,-39.2 63.4,-39.25 63.4))",13.8283404917986,9.39236057117847,0.73260412455192,Greenland Sea,55B0,7603:239:142:1,63.425,-39.225
"POLYGON ((-30.2 65.65,-30.2 65.7,-30.15 65.7,-30.15 65.65,-30.2 65.65))",12.7323543222402,3.75407822467748,0.292818101524843,Greenland Sea,60B9,7603:350:361:4,65.675,-30.175
"POLYGON ((-30.25 65.6,-30.25 65.65,-30.2 65.65,-30.2 65.6,-30.25 65.6))",12.7569291736401,25.377573248345,1.97945071337091,Greenland Sea,60B9,7603:350:362:1,65.625,-30.225
"POLYGON ((-38.15 63.4,-38.15 63.45,-38.1 63.45,-38.1 63.4,-38.15 63.4))",13.8283404917986,39.1427670399482,3.05313582911596,Greenland Sea,55B1,7603:238:141:1,63.425,-38.125
"POLYGON ((-39.15 63.3,-39.15 63.35,-39.1 63.35,-39.1 63.3,-39.15 63.3))",13.87656847317,1.68474913990457,0.131410432912557,Greenland Sea,55B0,7603:239:131:1,63.325,-39.125
"POLYGON ((-39.9 63.15,-39.9 63.2,-39.85 63.2,-39.85 63.15,-39.9 63.15))",13.9488311422887,6.33163566890158,0.493867582174323,Greenland Sea,55B0,7603:239:218:4,63.175,-39.875
"POLYGON ((-40.1 62.0,-40.1 62.05,-40.05 62.05,-40.05 62.0,-40.1 62.0))",14.4996323230668,78.7659697309708,6.14374563901572,Greenland Sea,53A3,7604:120:100:2,62.025,-40.075
"POLYGON ((-40.35 62.25,-40.35 62.3,-40.3 62.3,-40.3 62.25,-40.35 62.25))",14.380382189987,3.17317298968867,0.247507493195716,Greenland Sea,53A3,7604:120:123:3,62.275,-40.325
"POLYGON ((-40.3 62.35,-40.3 62.4,-40.25 62.4,-40.25 62.35,-40.3 62.35))",14.3326053505503,11.7804812084299,0.918877534257531,Greenland Sea,53A3,7604:120:132:4,62.375,-40.275
"POLYGON ((-40.35 62.3,-40.35 62.35,-40.3 62.35,-40.3 62.3,-40.35 62.3))",14.356499236818,31.4286758071814,2.45143671296015,Greenland Sea,53A3,7604:120:133:1,62.325,-40.325
"POLYGON ((-40.35 62.4,-40.35 62.45,-40.3 62.45,-40.3 62.4,-40.35 62.4))",14.3087005493802,11.5157480782188,0.898228350101065,Greenland Sea,53A3,7604:120:143:1,62.425,-40.325
"POLYGON ((-40.65 62.2,-40.65 62.25,-40.6 62.25,-40.6 62.2,-40.65 62.2))",14.4042541918693,49.1136895462294,3.83086778460589,Greenland Sea,53A3,7604:120:226:1,62.225,-40.625
"POLYGON ((-40.6 62.4,-40.6 62.45,-40.55 62.45,-40.55 62.4,-40.6 62.4))",14.3087005493802,15.0921049432883,1.17718418557649,Greenland Sea,53A3,7604:120:245:2,62.425,-40.575
"POLYGON ((-35.25 64.6,-35.25 64.65,-35.2 64.65,-35.2 64.6,-35.25 64.6))",13.2463612245573,22.767242989033,1.77584495314457,Greenland Sea,58B4,7603:245:362:1,64.625,-35.225
"POLYGON ((-30.35 65.6,-30.35 65.65,-30.3 65.65,-30.3 65.6,-30.35 65.6))",12.7569291736401,14.2033461693237,1.10786100120725,Greenland Sea,60B9,7603:350:363:1,65.625,-30.325
"POLYGON ((-39.2 62.5,-39.2 62.55,-39.15 62.55,-39.15 62.5,-39.2 62.5))",14.2608582751591,4.18944978256111,0.326777083039766,Greenland Sea,54B0,7603:229:351:2,62.525,-39.175
"POLYGON ((-37.9 63.55,-37.9 63.6,-37.85 63.6,-37.85 63.55,-37.9 63.55))",13.7559195840801,2.27232860604308,0.17724163127136,Greenland Sea,56B2,7603:237:458:4,63.575,-37.875
"POLYGON ((-37.55 63.65,-37.55 63.7,-37.5 63.7,-37.5 63.65,-37.55 63.65))",13.7075865696387,2.84253014212603,0.22171735108583,Greenland Sea,56B2,7603:237:465:3,63.675,-37.525
"POLYGON ((-35.25 64.65,-35.25 64.7,-35.2 64.7,-35.2 64.65,-35.25 64.65))",13.221984218178,19.7640599782844,1.54159667830618,Greenland Sea,58B4,7603:245:362:3,64.675,-35.225
"POLYGON ((-35.55 64.8,-35.55 64.85,-35.5 64.85,-35.5 64.8,-35.55 64.8))",13.1487928586382,3.7535528417406,0.292777121655767,Greenland Sea,58B4,7603:245:485:1,64.825,-35.525
