WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-30.85 66.0,-30.85 66.05,-30.8 66.05,-30.8 66.0,-30.85 66.0))",Otter,2.3345,Greenland Sea,61B9,7603:360:208:1,66.025,-30.825
"POLYGON ((-35.15 64.6,-35.15 64.65,-35.1 64.65,-35.1 64.6,-35.15 64.6))",Otter,36.3808333333333,Greenland Sea,58B4,7603:245:361:1,64.625,-35.125
"POLYGON ((-40.4 62.25,-40.4 62.3,-40.35 62.3,-40.35 62.25,-40.4 62.25))",Otter,1341.02633333333,Greenland Sea,53A3,7604:120:123:4,62.275,-40.375
"POLYGON ((-30.55 65.55,-30.55 65.6,-30.5 65.6,-30.5 65.55,-30.55 65.55))",Otter,9.8353,Greenland Sea,60B9,7603:350:455:3,65.575,-30.525
"POLYGON ((-29.5 65.8,-29.5 65.85,-29.45 65.85,-29.45 65.8,-29.5 65.8))",Otter,1.63918,Greenland Sea,60C0,7602:459:384:2,65.825,-29.475
"POLYGON ((-30.6 66.6,-30.6 66.65,-30.55 66.65,-30.55 66.6,-30.6 66.6))",Otter,4.21065,Greenland Sea,62B9,7603:360:465:2,66.625,-30.575
"POLYGON ((-34.75 64.35,-34.75 64.4,-34.7 64.4,-34.7 64.35,-34.75 64.35))",Otter,0.75,Greenland Sea,57B5,7603:144:237:3,64.375,-34.725
"POLYGON ((-30.6 65.6,-30.6 65.65,-30.55 65.65,-30.55 65.6,-30.6 65.6))",Otter,1.72,Greenland Sea,60B9,7603:350:465:2,65.625,-30.575
"POLYGON ((-39.15 63.7,-39.15 63.75,-39.1 63.75,-39.1 63.7,-39.15 63.7))",Otter,0.93,Greenland Sea,56B0,7603:239:371:1,63.725,-39.125
"POLYGON ((-31.1 65.45,-31.1 65.5,-31.05 65.5,-31.05 65.45,-31.1 65.45))",Otter,2.62,Greenland Sea,59B8,7603:351:140:4,65.475,-31.075
"POLYGON ((-35.7 64.35,-35.7 64.4,-35.65 64.4,-35.65 64.35,-35.7 64.35))",Otter,10.225,Greenland Sea,57B4,7603:245:236:4,64.375,-35.675
"POLYGON ((-28.55 66.35,-28.55 66.4,-28.5 66.4,-28.5 66.35,-28.55 66.35))",Otter,0.58875,Greenland Sea,61C1,7602:468:235:3,66.375,-28.525
"POLYGON ((-30.2 65.45,-30.2 65.5,-30.15 65.5,-30.15 65.45,-30.2 65.45))",Otter,2.965,Greenland Sea,59B9,7603:350:141:4,65.475,-30.175
"POLYGON ((-30.1 65.7,-30.1 65.75,-30.05 65.75,-30.05 65.7,-30.1 65.7))",Otter,2.53918,Greenland Sea,60B9,7603:350:370:2,65.725,-30.075
"POLYGON ((-30.8 65.65,-30.8 65.7,-30.75 65.7,-30.75 65.65,-30.8 65.65))",Otter,2.46,Greenland Sea,60B9,7603:350:467:4,65.675,-30.775
"POLYGON ((-30.65 65.4,-30.65 65.45,-30.6 65.45,-30.6 65.4,-30.65 65.4))",Otter,0.165,Greenland Sea,59B9,7603:350:246:1,65.425,-30.625
