"StockKeyLabel","AssessmentYear","Ecoregion","AdviceCategory","AssessmentKey","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"hom.27.3a4bc7d",2021,"Greater North Sea Ecoregion","PA","16767","4","Qualitative evaluation","-","-","Increasing","Decreasing",2019,7,"http://sg.ices.dk/download/icons/7.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2018,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2019,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2020,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2019,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2020,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","1","Maximum sustainable yield","F<sub>MSY</sub>","MSY B<sub>trigger</sub>","Above trigger","Appropriate",2021,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2018,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2019,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2020,1,"http://sg.ices.dk/download/icons/1.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2019,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2020,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","2","Precautionary approach","F<sub>pa</sub>,F<sub>lim</sub>","B<sub>pa</sub>,B<sub>lim</sub>","Full reproductive capacity","Harvested sustainably",2021,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2018,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2020,0,"http://sg.ices.dk/download/icons/0.png","Fishing pressure"
"hom.27.9a",2021,"Bay of Biscay and the Iberian Coast Ecoregion","MSY","15610","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Not applicable","Not applicable",2019,0,"http://sg.ices.dk/download/icons/0.png","Stock Size"
